Sex,Planning Area,Age Group,Population,Pop_Proportion
Female,Ang Mo Kio,0 - 4,3310,3.65%
Female,Ang Mo Kio,5 - 9,3790,4.18%
Female,Ang Mo Kio,10 - 14,4100,4.52%
Female,Ang Mo Kio,15 - 19,4600,5.07%
Female,Ang Mo Kio,20 - 24,5180,5.71%
Female,Ang Mo Kio,25 - 29,5810,6.41%
Female,Ang Mo Kio,30 - 34,6450,7.11%
Female,Ang Mo Kio,35 - 39,6890,7.60%
Female,Ang Mo Kio,40 - 44,7100,7.83%
Female,Ang Mo Kio,45 - 49,6670,7.36%
Female,Ang Mo Kio,50 - 54,7020,7.74%
Female,Ang Mo Kio,55 - 59,7130,7.86%
Female,Ang Mo Kio,60 - 64,6950,7.67%
Female,Ang Mo Kio,65 - 69,5810,6.41%
Female,Ang Mo Kio,70 - 74,3600,3.97%
Female,Ang Mo Kio,75 - 79,2800,3.09%
Female,Ang Mo Kio,80 - 84,1910,2.11%
Female,Ang Mo Kio,85 & Over,1540,1.70%
Female,Bedok,0 - 4,5760,3.88%
Female,Bedok,5 - 9,6670,4.49%
Female,Bedok,10 - 14,7290,4.91%
Female,Bedok,15 - 19,8160,5.49%
Female,Bedok,20 - 24,9630,6.48%
Female,Bedok,25 - 29,9990,6.72%
Female,Bedok,30 - 34,10090,6.79%
Female,Bedok,35 - 39,11100,7.47%
Female,Bedok,40 - 44,11670,7.85%
Female,Bedok,45 - 49,10850,7.30%
Female,Bedok,50 - 54,11870,7.99%
Female,Bedok,55 - 59,11860,7.98%
Female,Bedok,60 - 64,10570,7.11%
Female,Bedok,65 - 69,8570,5.77%
Female,Bedok,70 - 74,4890,3.29%
Female,Bedok,75 - 79,4080,2.75%
Female,Bedok,80 - 84,2850,1.92%
Female,Bedok,85 & Over,2700,1.82%
Female,Bishan,0 - 4,1630,3.50%
Female,Bishan,5 - 9,2030,4.36%
Female,Bishan,10 - 14,2230,4.78%
Female,Bishan,15 - 19,2610,5.60%
Female,Bishan,20 - 24,3280,7.04%
Female,Bishan,25 - 29,3250,6.97%
Female,Bishan,30 - 34,3030,6.50%
Female,Bishan,35 - 39,3190,6.84%
Female,Bishan,40 - 44,3740,8.02%
Female,Bishan,45 - 49,3600,7.72%
Female,Bishan,50 - 54,4070,8.73%
Female,Bishan,55 - 59,3960,8.50%
Female,Bishan,60 - 64,3230,6.93%
Female,Bishan,65 - 69,2520,5.41%
Female,Bishan,70 - 74,1460,3.13%
Female,Bishan,75 - 79,1180,2.53%
Female,Bishan,80 - 84,840,1.80%
Female,Bishan,85 & Over,760,1.63%
Female,Boon Lay,0 - 4,0,
Female,Boon Lay,5 - 9,0,
Female,Boon Lay,10 - 14,0,
Female,Boon Lay,15 - 19,0,
Female,Boon Lay,20 - 24,0,
Female,Boon Lay,25 - 29,0,
Female,Boon Lay,30 - 34,0,
Female,Boon Lay,35 - 39,0,
Female,Boon Lay,40 - 44,0,
Female,Boon Lay,45 - 49,0,
Female,Boon Lay,50 - 54,0,
Female,Boon Lay,55 - 59,0,
Female,Boon Lay,60 - 64,0,
Female,Boon Lay,65 - 69,0,
Female,Boon Lay,70 - 74,0,
Female,Boon Lay,75 - 79,0,
Female,Boon Lay,80 - 84,0,
Female,Boon Lay,85 & Over,0,
Female,Bukit Batok,0 - 4,2680,3.79%
Female,Bukit Batok,5 - 9,3450,4.88%
Female,Bukit Batok,10 - 14,3950,5.58%
Female,Bukit Batok,15 - 19,4560,6.45%
Female,Bukit Batok,20 - 24,5030,7.11%
