Country,TradeType,12/1/2022,11/1/2022,10/1/2022,9/1/2022,8/1/2022,7/1/2022,6/1/2022,5/1/2022,4/1/2022,3/1/2022,2/1/2022,1/1/2022,12/1/2021,11/1/2021,10/1/2021,9/1/2021,8/1/2021,7/1/2021,6/1/2021,5/1/2021,4/1/2021,3/1/2021,2/1/2021,1/1/2021,12/1/2020,11/1/2020,10/1/2020,9/1/2020,8/1/2020,7/1/2020,6/1/2020,5/1/2020,4/1/2020,3/1/2020,2/1/2020,1/1/2020
Afghanistan,Exports,214,272,345,453,232,240,138,101,72,179,411,527,510,281,198,321,419,738,1996,1621,1190,3687,1614,501,877,648,967,2796,993,2656,1752,3709,1771,5293,2199,3606
Afghanistan,Imports,61,26,9,19,107,82,8,85,20,10,99,20,63,18,32,28,47,2538,51,133,32,133,18,139,45,18,19,13,38,11,72,15,16,6,66,7
Afghanistan,TradeBalance,153,246,336,434,125,158,130,16,52,169,312,507,447,263,166,293,372,-1800,1945,1488,1158,3554,1596,362,832,630,948,2783,955,2645,1680,3694,1755,5287,2133,3599
Anguilla,Imports,0,0,1,0,9,0,2,1,4,1,1,2,9,2,2,4,1,1,1,28,1,2,2,3,32,0,1,1,8,3,1,3,2,1,0,3
Anguilla,TradeBalance,0,0,-1,0,-9,0,-2,-1,-4,-1,-1,-2,-9,-2,-2,-4,-1,-1,-1,-28,-1,-2,-2,-3,-32,0,-1,-1,-8,-3,-1,-3,-2,-1,0,-3
Argentina,Exports,22119,20687,23605,52858,43246,14329,19515,20947,19646,21158,17621,21644,20157,14505,19245,14142,30823,15396,14710,12881,9823,27130,25397,15448,13991,24262,24618,19813,18869,22679,17948,8026,19985,9210,14307,21408
Argentina,Imports,11273,6775,14908,13163,11801,10327,11559,16397,6341,6657,8302,9694,11374,6754,4130,6413,3670,5193,5036,4964,8657,3075,2926,21986,6324,29741,5067,3643,5407,33559,4426,5059,6489,16477,3057,6161
Argentina,TradeBalance,10846,13912,8697,39695,31445,4002,7956,4550,13305,14501,9319,11950,8783,7751,15115,7729,27153,10203,9674,7917,1166,24055,22471,-6538,7667,-5479,19551,16170,13462,-10880,13522,2967,13496,-7267,11250,15247
Australia,Exports,1711317,1794035,1628700,1923247,2060828,2252228,2215085,1941642,2138137,2063439,1492564,1650218,1759211,1824798,1510286,1587352,1659399,1444302,1676135,1387861,1229534,1420177,1027770,975143,939170,956920,985939,1016997,1096371,1061895,859951,888542,926290,972067,1077157,1016684
Australia,Imports,1253373,577829,1246296,1447901,696980,924529,1020536,977494,1454940,759708,744590,682538,639275,825231,860118,528741,570750,1056177,742066,840448,929295,1015957,1077095,634384,432820,1279412,522414,359877,457100,380570,330132,328456,480764,743553,500418,695463
Australia,TradeBalance,457944,1216206,382404,475346,1363848,1327699,1194549,964148,683197,1303731,747974,967680,1119936,999567,650168,1058611,1088649,388125,934069,547413,300239,404220,-49325,340759,506350,-322492,463525,657120,639271,681325,529819,560086,445526,228514,576739,321221
Austria,Exports,49367,40047,60000,60601,36414,30552,35724,28787,33756,62120,22749,39656,33729,32128,36829,35993,50973,25669,34712,25027,37524,50420,16523,21458,17658,15554,23572,28907,20772,19713,18522,17106,17305,20216,29566,25822
Austria,Imports,104665,105084,101231,130438,105197,118935,114118,116496,82248,106396,80431,83123,83670,103436,100316,162633,83447,88077,96163,101445,94048,99453,71945,81536,82619,65703,78136,72914,62639,74273,62225,55455,95240,74845,73180,80100
Austria,TradeBalance,-55298,-65037,-41231,-69837,-68783,-88383,-78394,-87709,-48492,-44276,-57682,-43467,-49941,-71308,-63487,-126640,-32474,-62408,-61451,-76418,-56524,-49033,-55422,-60078,-64961,-50149,-54564,-44007,-41867,-54560,-43703,-38349,-77935,-54629,-43614,-54278
Bahamas,Imports,11,4,4,4,0,6,14704,11,2,0,6,47,7294,3,1,20616,0,29503,2,3,33298,17,0,118553,0,152881,54,13702,6173,63061,20,1,31,8,37085,0
Bahamas,TradeBalance,-11,-4,-4,-4,0,-6,-14704,-11,-2,0,-6,-47,-7294,-3,-1,-20616,0,-29503,-2,-3,-33298,-17,0,-118553,0,-152881,-54,-13702,-6173,-63061,-20,-1,-31,-8,-37085,0
Bahrain,Exports,24163,21034,121596,41003,48485,10775,59388,10005,21131,35338,19719,29439,44255,6233,9780,7811,78137,14613,15366,4758,7632,10704,7928,5873,6783,9353,6255,5994,5882,5658,6077,7540,9007,20071,27903,9776
Bahrain,Imports,44949,11520,66675,2744,7085,165713,197690,293928,76907,4672,1358,4480,467,106807,7539,6177,1997,1358,2994,1288,48667,44708,1495,98458,1371,13810,702,28445,51275,71381,41364,12630,26190,2924,1087,654
