Country,TradeType,MonYear,Values
Belgium,Imports,12/1/2022,103655
Denmark,Imports,12/1/2022,67665
France,Imports,12/1/2022,1537347
"Germany, Federal Republic Of",Imports,12/1/2022,1129542
Greece,Imports,12/1/2022,99085
Ireland,Imports,12/1/2022,106678
Italy,Imports,12/1/2022,702472
Luxembourg,Imports,12/1/2022,8156
Netherlands,Imports,12/1/2022,384010
United Kingdom,Imports,12/1/2022,940088
Portugal,Imports,12/1/2022,31026
Spain,Imports,12/1/2022,262629
Austria,Imports,12/1/2022,104665
Finland,Imports,12/1/2022,42399
Sweden,Imports,12/1/2022,162253
Switzerland,Imports,12/1/2022,992687
Malta,Imports,12/1/2022,41040
"Germany, Democratic Republic Of",Imports,12/1/2022,0
Hungary,Imports,12/1/2022,44406
Poland,Imports,12/1/2022,61324
Estonia,Imports,12/1/2022,5378
Latvia,Imports,12/1/2022,4288
Lithuania,Imports,12/1/2022,13594
Slovenia,Imports,12/1/2022,7106
Czech Republic,Imports,12/1/2022,69549
Slovak Republic,Imports,12/1/2022,9115
Brunei Darussalam,Imports,12/1/2022,143124
Indonesia,Imports,12/1/2022,2074781
Malaysia,Imports,12/1/2022,6017970
Philippines,Imports,12/1/2022,592778
Thailand,Imports,12/1/2022,1116398
Myanmar,Imports,12/1/2022,7486
Cambodia,Imports,12/1/2022,25899
Laos People's Democratic Republic,Imports,12/1/2022,7281
"Vietnam, Socialist Republic Of",Imports,12/1/2022,567388
Japan,Imports,12/1/2022,2618288
Hong Kong,Imports,12/1/2022,240017
Republic Of Korea,Imports,12/1/2022,3207322
Taiwan,Imports,12/1/2022,5357878
Macau,Imports,12/1/2022,1376
Mainland China,Imports,12/1/2022,7642587
Afghanistan,Imports,12/1/2022,61
Bangladesh,Imports,12/1/2022,27270
India,Imports,12/1/2022,834657
"Maldives, Republic Of",Imports,12/1/2022,103
Nepal,Imports,12/1/2022,221
Pakistan,Imports,12/1/2022,7334
Sri Lanka,Imports,12/1/2022,10737
Bahrain,Imports,12/1/2022,44949
Cyprus,Imports,12/1/2022,21698
Iran,Imports,12/1/2022,317
Israel,Imports,12/1/2022,98717
Jordan,Imports,12/1/2022,8265
Kuwait,Imports,12/1/2022,639
Lebanon,Imports,12/1/2022,332
Oman,Imports,12/1/2022,72624
Qatar,Imports,12/1/2022,640131
Saudi Arabia,Imports,12/1/2022,801168
Syrian Arab Republic,Imports,12/1/2022,0
United Arab Emirates,Imports,12/1/2022,1212293
Yemen,Imports,12/1/2022,629
Yemen Democratic,Imports,12/1/2022,0
Canada,Imports,12/1/2022,211232
Puerto Rico,Imports,12/1/2022,8375
United States,Imports,12/1/2022,5314219
Argentina,Imports,12/1/2022,11273
Brazil,Imports,12/1/2022,1004171
Chile,Imports,12/1/2022,16649
Colombia,Imports,12/1/2022,7915
Ecuador,Imports,12/1/2022,4475
Mexico,Imports,12/1/2022,277739
Paraguay,Imports,12/1/2022,681
Peru,Imports,12/1/2022,3464
Uruguay,Imports,12/1/2022,635
Venezuela,Imports,12/1/2022,89
Australia,Imports,12/1/2022,1253373
Fiji,Imports,12/1/2022,243
New Caledonia,Imports,12/1/2022,18
New Zealand,Imports,12/1/2022,122266
Papua New Guinea,Imports,12/1/2022,23124
French Polynesia,Imports,12/1/2022,210
Guam,Imports,12/1/2022,35
Solomon Islands,Imports,12/1/2022,3
Other Countries In Oceania,Imports,12/1/2022,1577
Norway,Imports,12/1/2022,50581
