Country,MonYear,TradeType,Values
Belgium,4/1/2020,Imports,126970
Belgium,4/1/2021,Imports,174581
Belgium,4/1/2022,Imports,146603
Belgium,8/1/2020,Imports,99286
Belgium,8/1/2021,Imports,98508
Belgium,8/1/2022,Imports,132917
Belgium,12/1/2020,Imports,133445
Belgium,12/1/2021,Imports,129536
Belgium,12/1/2022,Imports,103655
Belgium,2/1/2020,Imports,176921
Belgium,2/1/2021,Imports,191622
Belgium,2/1/2022,Imports,247242
Belgium,1/1/2020,Imports,124193
Belgium,1/1/2021,Imports,119744
Belgium,1/1/2022,Imports,170868
Belgium,7/1/2020,Imports,102317
Belgium,7/1/2021,Imports,183841
Belgium,7/1/2022,Imports,224676
Belgium,6/1/2020,Imports,73457
Belgium,6/1/2021,Imports,117345
Belgium,6/1/2022,Imports,114704
Belgium,3/1/2020,Imports,136150
Belgium,3/1/2021,Imports,128928
Belgium,3/1/2022,Imports,319393
Belgium,5/1/2020,Imports,77945
Belgium,5/1/2021,Imports,151574
Belgium,5/1/2022,Imports,116817
Belgium,11/1/2020,Imports,209539
Belgium,11/1/2021,Imports,131031
Belgium,11/1/2022,Imports,121773
Belgium,10/1/2020,Imports,83657
Belgium,10/1/2021,Imports,250735
Belgium,10/1/2022,Imports,88796
Belgium,9/1/2020,Imports,80823
Belgium,9/1/2021,Imports,155819
Belgium,9/1/2022,Imports,215978
Denmark,4/1/2020,Imports,62488
Denmark,4/1/2021,Imports,44685
Denmark,4/1/2022,Imports,55538
Denmark,8/1/2020,Imports,44398
Denmark,8/1/2021,Imports,61383
Denmark,8/1/2022,Imports,126150
Denmark,12/1/2020,Imports,143209
Denmark,12/1/2021,Imports,52270
Denmark,12/1/2022,Imports,67665
Denmark,2/1/2020,Imports,124343
Denmark,2/1/2021,Imports,73685
Denmark,2/1/2022,Imports,40370
Denmark,1/1/2020,Imports,84860
Denmark,1/1/2021,Imports,105473
Denmark,1/1/2022,Imports,142017
Denmark,7/1/2020,Imports,95598
Denmark,7/1/2021,Imports,56814
Denmark,7/1/2022,Imports,55752
Denmark,6/1/2020,Imports,41203
Denmark,6/1/2021,Imports,146833
Denmark,6/1/2022,Imports,50966
Denmark,3/1/2020,Imports,54577
Denmark,3/1/2021,Imports,117667
Denmark,3/1/2022,Imports,76044
Denmark,5/1/2020,Imports,65305
Denmark,5/1/2021,Imports,55964
Denmark,5/1/2022,Imports,51216
Denmark,11/1/2020,Imports,45010
Denmark,11/1/2021,Imports,91555
Denmark,11/1/2022,Imports,67436
Denmark,10/1/2020,Imports,43480
Denmark,10/1/2021,Imports,54084
Denmark,10/1/2022,Imports,63719
Denmark,9/1/2020,Imports,70494
Denmark,9/1/2021,Imports,151317
Denmark,9/1/2022,Imports,61842
France,4/1/2020,Imports,912836
France,4/1/2021,Imports,1150424
France,4/1/2022,Imports,1553618
France,8/1/2020,Imports,922015
France,8/1/2021,Imports,1035905
France,8/1/2022,Imports,1624646
France,12/1/2020,Imports,1141603
France,12/1/2021,Imports,1449230
France,12/1/2022,Imports,1537347
France,2/1/2020,Imports,1123010
France,2/1/2021,Imports,987454
France,2/1/2022,Imports,1074703
